a,b,coint_p,hedge_ratio,spread_halflife
UQ Dollar,Bread,0.0,0.014275980288469747,0.6911487300493531
UQ Dollar,Sausage Sizzle,1.3661381469153404e-29,0.044917483622789856,0.7083543060196273
UQ Dollar,Sausage,1.3929654186203015e-29,0.11856164837803068,0.7116459205541108
Thrifted Jeans,Sausage Sizzle,0.0013040517616899779,9.673861064456942,17.541487739781875
Fintech Token,Bread,0.009069807428882963,-21.54791641043334,18.143726960873654
Sausage Sizzle,Sausage,0.023908577172765896,2.57259912645851,45.619110016958174
Thrifted Jeans,Sausage,0.0283939229638543,22.262744048307425,31.41123953232475
UQ Dollar,Liferaft Ticket,0.2284960817727763,6.097535629146299e-07,0.7179417760187626
Fintech Token,Sausage,0.23101776461985668,-306.7295357591743,71.1589992545051
UQ Dollar,Boat Party Ticket,0.2367967904804728,-0.010945722262463023,0.7139775020526433
UQ Dollar,MenuDash,0.2479421056687704,-0.0226899153368832,0.7201464525064871
MenuDash,Liferaft Ticket,0.2597705125885926,6.596565920837704e-07,19.617129500901864
MenuDash,Sausage,0.35684338051233505,-0.008103352163626319,22.441882739130943
Sausage Sizzle,Bread,0.38162768047683826,0.1428919778830892,37.601295608364914
Thrifted Jeans,Liferaft Ticket,0.42408911301406255,0.00022828825258274372,25.07380355999651
Fintech Token,Sausage Sizzle,0.44244635350935696,-86.65207222027877,82.35558894193849
Bread,Sausage,0.5063839482293174,11.344262713896656,32.86157782790336
Fintech Token,Boat Party Ticket,0.5064239008001995,15.77205349694537,50.305379115187414
Bread,Boat Party Ticket,0.5150002025405219,-0.6268090008716287,35.12389889730847
Sausage Sizzle,Liferaft Ticket,0.5212105545207348,2.174171444250453e-05,36.66803601693184
Thrifted Jeans,Bread,0.5462534199012106,1.5724505079950966,25.945703775600087
Sausage,Boat Party Ticket,0.5877434774869972,-0.021699670428871814,73.6877816784599
MenuDash,Boat Party Ticket,0.5878719022001418,0.00682886643210917,16.582016084494466
Fintech Token,Thrifted Jeans,0.5911750923487196,-5.392811260417355,52.4041472327334
Sausage Sizzle,MenuDash,0.5932723817785824,8.099990581394298,42.03496763953484
Bread,Liferaft Ticket,0.5940144287033957,9.988920001718466e-05,33.03849715475378
Sausage,Liferaft Ticket,0.5965291871975132,5.2151691816036e-06,50.82785611291692
Liferaft Ticket,Boat Party Ticket,0.6035034573994347,-3101.4318774173353,33.275960891264056
Bread,MenuDash,0.652397133068676,0.33397400904181396,66.04410003316912
Thrifted Jeans,MenuDash,0.6696832971111242,75.28119082479509,36.876419594017875
Sausage Sizzle,Boat Party Ticket,0.730318436386899,-0.0006873101948577491,151.39329412307737
Thrifted Jeans,UQ Dollar,0.7383498873403169,4.430026855433315,25.013381273655476
Fintech Token,Liferaft Ticket,0.7386929305213852,-0.0027606409533569706,47.66891274285678
Fintech Token,MenuDash,0.7757853180048335,94.12518260562398,126.94141414223834
Thrifted Jeans,Boat Party Ticket,0.8217800848817995,-0.4605671842138864,54.95549462020991
Fintech Token,UQ Dollar,0.8327422079301228,-57.21664979922461,22.656382322993068
