day,daily_pnl,cum_pnl,pc_budget,pnl_Fintech Token,pnl_Thrifted Jeans,pnl_UQ Dollar,pnl_Sausage Sizzle,pnl_Bread,pnl_MenuDash,pnl_Sausage,pnl_Liferaft Ticket,pnl_Boat Party Ticket,pos_Fintech Token,pos_Thrifted Jeans,pos_UQ Dollar,pos_Sausage Sizzle,pos_Bread,pos_MenuDash,pos_Sausage,pos_Liferaft Ticket,pos_Boat Party Ticket
78,2448.0,87297.92999999998,97.0,748.0,-355.2,0.0,390.0,-184.8,1500.0,0.0,0.0,350.0,-100,60,0,-100,-44,-100,100,100,100
79,-1347.02,85950.90999999997,97.0,438.0,705.6,0.0,180.0,-490.62,-1500.0,-250.0,0.0,-430.0,-100,0,-100,99,0,-100,0,100,100
80,3118.3,89069.20999999998,97.0,622.0,0.0,1118.0,148.3,0.0,750.0,0.0,0.0,480.0,100,0,100,93,0,-100,0,100,-100
81,2804.23,91873.43999999997,97.0,-650.0,-0.0,572.0,532.19,-0.0,2250.0,0.04,0.0,100.0,100,0,100,-100,0,100,0,100,-100
82,936.46,92809.89999999998,97.0,1114.0,-0.0,-117.0,119.4,0.0,-750.0,0.06,0.0,570.0,-100,0,100,93,0,100,0,100,100
83,3783.44,96593.33999999998,97.0,2191.0,-0.0,175.5,166.98,0.0,750.0,-0.04,0.0,500.0,100,60,0,-100,27,100,100,100,-100
84,7603.1,104196.43999999999,97.0,2879.0,1132.8,-0.0,-0.0,51.3,1500.0,150.0,0.0,1890.0,-100,0,100,88,0,-100,0,100,100
85,1747.33,105943.76999999999,97.0,1247.0,0.0,884.0,185.85,0.0,-0.0,0.48,0.0,-570.0,100,0,-100,82,0,-100,0,100,100
86,2550.66,108494.43,97.0,92.0,-0.0,780.0,418.54,-0.0,750.0,0.12,0.0,510.0,-100,60,0,100,0,-100,65,100,-100
87,3211.18,111705.60999999999,97.0,1949.0,-969.6,-0.0,-30.0,-0.0,1500.0,-98.22,0.0,860.0,100,0,100,-84,0,100,0,100,100
88,2829.22,114534.82999999999,96.99,1383.0,0.0,195.0,251.3,0.0,750.0,-0.08,0.0,250.0,100,60,0,100,5,-100,100,100,100
89,3480.84,118015.66999999998,97.0,9.0,744.0,-0.0,210.0,-2.16,2250.0,150.0,0.0,120.0,100,0,100,81,0,100,0,100,-100
90,1392.96,119408.62999999999,97.0,578.0,0.0,455.0,0.0,-0.0,750.0,-0.04,0.0,-390.0,-100,60,0,-100,0,100,95,100,-100
91,3251.06,122659.68999999999,97.0,-536.0,-288.0,0.0,330.0,-0.0,3000.0,285.06,0.0,460.0,-100,0,-100,74,0,-100,0,100,100
92,3922.78,126582.46999999999,97.0,927.0,0.0,929.5,66.24,-0.0,1500.0,0.04,0.0,500.0,100,0,100,80,0,-100,0,100,-100
93,-2522.15,124060.31999999999,97.0,-342.0,0.0,-260.0,0.0,0.0,-3000.0,-0.15,0.0,1080.0,100,0,100,84,0,-100,0,100,100
94,4222.7,128283.01999999999,97.0,834.0,-0.0,533.0,125.65,0.0,1500.0,0.05,0.0,1230.0,-100,60,0,100,2,-100,100,100,-100
95,714.9,128997.91999999998,96.99,352.0,-340.8,0.0,0.0,3.7,750.0,0.0,0.0,-50.0,100,60,0,-100,12,-100,100,-100,-100
96,-609.93,128387.98999999999,97.0,-567.0,816.0,-0.0,-60.0,-68.93,-1500.0,-150.0,0.0,920.0,100,0,100,-97,0,-100,0,-100,100
97,1447.2,129835.18999999999,97.0,19.0,-0.0,201.5,436.35,-0.0,750.0,0.35,0.0,40.0,100,60,0,-100,31,-100,-100,-100,100
98,1994.72,131829.90999999997,97.0,782.0,96.0,-0.0,510.0,96.72,750.0,-200.0,0.0,-40.0,-100,22,100,100,0,-100,0,-100,100
